subject;classifier;model;preprocessing;accuracy
2;QDA;QuadraticDiscriminantAnalysis(reg_param=0.05316213240578627,                           tol=0.000640952085913989);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.768
2;SVM;SVC(C=2.1662050862711246, coef0=0.5180528058128524, degree=5, gamma='auto', random_state=1, shrinking=False, tol=0.009936152365326835);(PCA(n_components=2),);
3;AdaBoost;AdaBoostClassifier(learning_rate=1.005518201649358, n_estimators=40,                random_state=2);(MinMaxScaler(feature_range=(0.0, 1.0)),);0.889
3;DecisionTree;DecisionTreeClassifier(random_state=3, splitter='random');(StandardScaler(with_mean=False),);0.879
3;KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=38, metric='cityblock',                  n_jobs=1, n_neighbors=10, p=4.826439620032803);(PCA(n_components=2),);0.909
3;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=0.0036371377416220003);(Normalizer(norm='max'),);0.889
3;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced',                    min_impurity_decrease=0.02, min_samples_leaf=11,                    min_samples_split=3, n_estimators=36, n_jobs=1,                    random_state=2, verbose=False);(PCA(n_components=2),);0.919
3;QDA;QuadraticDiscriminantAnalysis(reg_param=0.008501427480862505,                           tol=0.000663259784909909);(Normalizer(norm='max'),);0.909
3;SVM;SVC(C=1.2426478795708773, coef0=0.1172748526091516, degree=4, kernel='linear', random_state=4, shrinking=False, tol=0.0076051080659962425);(StandardScaler(with_mean=False, with_std=False),);0.909
4;AdaBoost;AdaBoostClassifier(learning_rate=0.13459294857356943, n_estimators=181,                random_state=2);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.808
4;DecisionTree;DecisionTreeClassifier(random_state=2, splitter='random');(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.788
4;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=37, metric='l2', n_jobs=1,                  n_neighbors=13, p=2.6880556414920234);(StandardScaler(with_std=False),);0.828
4;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=0.0042844760306773085);(MinMaxScaler(feature_range=(0.0, 1.0)),);0.788
4;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced_subsample',                    max_features=0.955278861621189, min_samples_leaf=5,                    n_estimators=172, n_jobs=1, random_state=0,                    verbose=False);(PCA(n_components=2),);0.808
4;QDA;QuadraticDiscriminantAnalysis(reg_param=0.4981730310059388,                           tol=1.905409778223989e-05);(PCA(n_components=2, whiten=True),);0.798
4;SVM;SVC(C=1.1062078643562139, coef0=0.4893063372014831, degree=4, gamma='auto', random_state=1, shrinking=False, tol=0.0004420704850346935);(PCA(n_components=2),);0.828
5;AdaBoost;AdaBoostClassifier(learning_rate=0.08257584304801392, n_estimators=74,                random_state=3);(StandardScaler(with_mean=False),);0.828
5;DecisionTree;DecisionTreeClassifier(max_depth=3, max_features='sqrt', random_state=2);(PCA(n_components=2),);0.808
5;KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=34, metric='euclidean',                  n_jobs=1, n_neighbors=13, p=1.311117449007265);(StandardScaler(with_std=False),);0.818
5;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=0.0001568281275390454);(StandardScaler(with_std=False),);0.828
5;RandomForest;RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                    max_leaf_nodes=10, min_impurity_decrease=0.05,                    n_estimators=155, n_jobs=1, random_state=3,                    verbose=False);(PCA(n_components=2, whiten=True),);0.818
5;QDA;QuadraticDiscriminantAnalysis(reg_param=0.08137680499457534,                           tol=1.923526394279404e-05);(PCA(n_components=2),);0.798
5;SVM;SVC(C=0.8785884904930568, coef0=0.7002404242375744, degree=2, random_state=1, shrinking=False, tol=0.0007035482827048603);(StandardScaler(with_std=False),);0.828
6;AdaBoost;AdaBoostClassifier(learning_rate=0.0020411916704812186, n_estimators=150,                random_state=0);(PCA(n_components=2),);0.848
6;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_features=0.5316291269260455,                    random_state=2);(PCA(n_components=2),);0.838
6;KNN;KNeighborsClassifier(algorithm='brute', leaf_size=26, metric='l2', n_jobs=1,                  n_neighbors=10, p=4.408293169401036, weights='distance');(PCA(n_components=2, whiten=True),);0.859
6;LDA;LinearDiscriminantAnalysis(tol=1.1357243794156032e-05);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.859
6;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced',                    max_leaf_nodes=10, min_samples_leaf=7, n_estimators=20,                    n_jobs=1, random_state=0, verbose=False);(PCA(n_components=2, whiten=True),);0.869
6;QDA;QuadraticDiscriminantAnalysis(reg_param=0.487556706311617,                           tol=1.0418141512350982e-05);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.848
6;SVM;SVC(C=1.488177005070808, coef0=0.23896856282647194, degree=2, gamma='auto', random_state=2, tol=0.0003546715205501817);(PCA(n_components=2, whiten=True),);0.869
7;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.17141200610345,                n_estimators=893, random_state=4);(MinMaxScaler(feature_range=(0.0, 1.0)),);0.535
7;DecisionTree;DecisionTreeClassifier(max_features=0.8250574789537701, max_leaf_nodes=15,                    random_state=0, splitter='random');(PCA(n_components=2, whiten=True),);0.505
7;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=20, metric='cityblock',                  n_jobs=1, n_neighbors=6, p=1.6750820555831127,                  weights='distance');(StandardScaler(with_std=False),);0.525
7;LDA;LinearDiscriminantAnalysis(tol=0.00026128620220606163);(Normalizer(),);0.545
7;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced_subsample',                    min_samples_leaf=2, n_estimators=1955, n_jobs=1,                    random_state=1, verbose=False);(StandardScaler(),);0.556
7;QDA;QuadraticDiscriminantAnalysis(reg_param=0.3535582819596402,                           tol=0.0006893742490253169);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.475
7;SVM;SVC(C=1.008757840472387, coef0=0.6449646084666911, degree=5, kernel='poly', random_state=2, tol=0.0009373928402596696);(MinMaxScaler(feature_range=(0.0, 1.0)),);0.545
